molecule_index,kmeans_cluster,hierarchical_cluster,dbscan_cluster
0,2,1,0
1,3,3,1
2,0,2,-1
3,2,1,0
4,3,3,1
5,1,1,2
6,0,2,-1
7,1,1,2
8,4,0,3
9,0,0,-1
10,3,3,1
11,1,1,5
12,1,2,-1
13,1,1,4
14,1,1,5
15,1,1,2
16,2,4,-1
17,1,1,0
18,2,1,-1
19,3,3,1
20,1,1,4
21,2,1,0
22,1,1,5
23,1,1,2
24,4,0,-1
25,0,1,-1
26,1,1,2
27,4,0,3
28,1,1,-1
29,4,0,3
30,1,1,-1
31,2,4,2
32,1,2,-1
33,1,1,2
34,3,3,1
35,2,4,0
36,2,4,0
37,0,2,-1
38,2,2,-1
39,4,0,3
40,1,1,2
41,1,1,2
42,2,1,0
43,2,4,0
44,1,1,2
45,1,1,2
46,1,2,-1
47,1,1,2
48,1,1,2
49,2,4,2
50,0,0,-1
51,4,0,-1
52,3,3,1
53,4,0,-1
54,4,0,-1
55,1,2,-1
56,0,2,-1
57,0,0,-1
58,1,1,5
59,2,2,-1
60,0,0,-1
61,0,2,-1
62,4,0,-1
63,2,4,0
64,0,0,-1
65,1,1,4
66,4,0,3
67,1,1,2
68,3,3,1
69,0,0,-1
70,4,0,-1
71,0,0,-1
72,2,4,2
73,1,1,4
74,1,1,2
75,2,1,-1
76,1,1,2
77,3,3,1
78,3,3,1
79,1,1,-1
80,0,0,-1
81,0,2,-1
82,4,0,-1
83,0,2,-1
84,4,0,3
85,4,0,-1
86,2,4,0
87,1,1,4
88,1,1,5
89,1,1,2
90,1,1,2
91,1,1,-1
92,3,3,1
93,4,0,3
94,3,3,1
95,1,2,4
96,2,1,4
97,1,1,-1
98,1,1,2
99,4,0,3
